Date,纳指ETF,沪深300ETF,黄金ETF,权重合计
2024-01-30,1.0,0.0,0.0,1.0
2024-01-31,1.0,0.0,0.0,1.0
2024-02-01,0.8241236558542044,0.0,0.1758763441457956,1.0
2024-02-02,0.8876464011470963,0.0,0.11235359885290372,1.0
2024-02-05,1.0,0.0,0.0,1.0
2024-02-06,0.8875225426518994,0.1124774573481005,0.0,1.0
2024-02-07,0.6646701377391738,0.24802978610663934,0.08730007615418685,1.0
2024-02-08,0.6079990547802085,0.20727938241507154,0.18472156280471994,1.0
2024-02-19,0.6572702688210311,0.34272973117896893,0.0,1.0
2024-02-20,0.629290606318901,0.3707093936810991,0.0,1.0
2024-02-21,0.5373654653925759,0.46263453460742415,0.0,1.0
2024-02-22,0.4350315703189087,0.5205697934946442,0.04439863618644715,1.0
2024-02-23,0.48812138083130596,0.4356937737719252,0.07618484539676879,1.0
2024-02-26,0.44914744076629637,0.4860069309601438,0.0648456282735598,0.9999999999999999
2024-02-27,0.16277136387425586,0.7010899001122197,0.13613873601352458,1.0000000000000002
2024-02-28,0.27409308810352534,0.6262778469113339,0.09962906498514075,1.0
2024-02-29,0.1717154848385916,0.6601454677203427,0.16813904744106578,1.0
2024-03-01,0.24912009900818005,0.4047509084395176,0.34612899255230234,1.0
2024-03-04,0.31168421376283245,0.336669893070094,0.3516458931670736,1.0
2024-03-05,0.2034748990651509,0.39933456970138537,0.39719053123346376,1.0
2024-03-06,0.11193407969427417,0.47821555899769164,0.4098503613080342,1.0
2024-03-07,0.16474924742291663,0.4198192827777695,0.4154314697993138,0.9999999999999999
2024-03-08,0.2461758704992299,0.40632738324187306,0.34749674625889704,1.0
2024-03-11,0.1059600959687378,0.5319178451681226,0.36212205886313964,1.0
2024-03-12,0.10053541491040148,0.4967003792460155,0.402764205843583,1.0
2024-03-13,0.12558057851045332,0.4386533618852916,0.43576605960425513,1.0
2024-03-14,0.15665051803549837,0.38522592190007526,0.4581235600644263,1.0
2024-03-15,0.03985519545695395,0.42303444411677515,0.5371103604262709,1.0
2024-03-18,0.07333412114519906,0.44352693680268507,0.4831389420521158,1.0
2024-03-19,0.055073116592232324,0.3876499748084102,0.5572769085993575,1.0
2024-03-20,0.1619797040583868,0.28421572806642004,0.5538045678751932,1.0
2024-03-21,0.15849411301100383,0.21566308378778315,0.625842803201213,1.0
2024-03-22,0.11043424140161372,0.17178575711644956,0.7177800014819368,1.0
2024-03-25,0.15758015537756379,0.20656952986073646,0.6358503147616997,1.0
2024-03-26,0.20592118141101293,0.13165713793137285,0.6624216806576143,1.0
2024-03-27,0.1871181922482584,0.12233609895349547,0.6905457087982462,1.0
2024-03-28,0.22296710092335886,0.024358902785366916,0.7526739962912742,1.0
2024-03-29,0.11169873856528284,0.0,0.8883012614347171,1.0
2024-04-01,0.03823344866209808,0.15687264598790393,0.804893905349998,1.0
2024-04-02,0.09486671588629732,0.05721210725233339,0.8479211768613693,1.0
2024-04-03,0.030542832281649505,0.059099994913080836,0.9103571728052697,1.0
2024-04-08,0.09383326437228759,0.024670584741910646,0.8814961508858017,0.9999999999999999
2024-04-09,0.0,0.0,1.0,1.0
2024-04-10,0.15834816719984726,0.0,0.8416518328001528,1.0
2024-04-11,0.0,0.0,1.0,1.0
2024-04-12,0.093349183829995,0.0,0.906650816170005,1.0
2024-04-15,0.059065364282740715,0.0,0.9409346357172593,1.0
2024-04-16,0.0,0.0,1.0,1.0
2024-04-17,0.0,0.0,1.0,1.0
2024-04-18,0.0,0.0,1.0,1.0
2024-04-19,0.0,0.0,1.0,1.0
2024-04-22,0.0,0.0,1.0,1.0
2024-04-23,0.0,0.0,1.0,1.0
2024-04-24,0.0,0.0,1.0,1.0
2024-04-25,0.0,0.0,1.0,1.0
2024-04-26,0.0,0.3396335295505673,0.6603664704494326,1.0
